stop_sequence,from_id,to_id,status,line,type,day,part_of_the_day,delay
4.0,94,91,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,129,129,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
2.0,74,73,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,10,10,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
7.0,37169,139,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,83,127,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,129,138,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
3.0,32905,125,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,91,92,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,123,123,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,49,49,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
3.0,73,130,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,139,119,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,38187,107,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
9.0,127,70,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
6.0,92,30,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,49,117,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
3.0,138,24,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
5.0,26,135,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
4.0,24,21,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
2.0,10,2,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
4.0,107,37953,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,130,85,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
9.0,119,158,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
7.0,30,77,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,117,45,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
10.0,70,41,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
1.0,38081,38081,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
5.0,37953,109,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,105,107,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,125,125,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
8.0,77,27,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,85,59,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
11.0,41,37953,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
6.0,109,41,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,21,36,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
1.0,144,144,departed,Main Line,NJ Transit,Thursday,early_morning,0
4.0,45,18,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
4.0,125,103,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,13,13,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,38081,150,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
1.0,105,105,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,125,124,estimated,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
6.0,59,37169,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,18,12,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
2.0,13,122,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,144,78,departed,Main Line,NJ Transit,Thursday,early_morning,0
3.0,2,39,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
3.0,150,153,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
3.0,107,37953,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,135,57,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
9.0,27,145,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,123,113,departed,Main Line,NJ Transit,Thursday,early_morning,0
6.0,36,120,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
12.0,37953,107,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
7.0,41,70,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
4.0,37953,109,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,63,63,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,78,38417,departed,Main Line,NJ Transit,Thursday,early_morning,0
4.0,153,152,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
6.0,12,76,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
7.0,120,102,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
1.0,148,148,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
8.0,70,127,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
10.0,145,136,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,103,83,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,38417,128,departed,Main Line,NJ Transit,Thursday,early_morning,0
5.0,152,14,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
1.0,74,74,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,124,124,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
3.0,122,79,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,109,41,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
7.0,76,88,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
8.0,102,44,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
10.0,158,37953,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,105,38187,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
11.0,136,87,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
13.0,107,38187,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
1.0,35,35,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,37169,139,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,14,50,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
8.0,88,143,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
5.0,128,3,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,32906,32906,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,148,32905,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,39,55,departed,Atl. City Line,NJ Transit,Thursday,early_morning,1
4.0,79,141,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,124,125,estimated,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
9.0,127,83,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
1.0,123,123,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
6.0,41,70,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
7.0,57,149,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,1
12.0,87,81,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,50,19,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
9.0,44,155,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
9.0,143,48,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
6.0,3,151,departed,Main Line,NJ Transit,Thursday,early_morning,0
3.0,113,86,departed,Main Line,NJ Transit,Thursday,early_morning,0
2.0,74,73,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,139,119,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
11.0,37953,107,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,13,13,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,148,148,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,141,15,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,32906,103,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,48,17,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
7.0,70,127,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
1.0,129,129,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
7.0,151,64,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,105,105,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
8.0,149,137,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
10.0,83,84,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
13.0,81,140,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
10.0,155,32,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
2.0,35,34,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,32905,125,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,38187,107,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,54,54,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
3.0,73,130,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,142,142,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
1.0,49,49,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
2.0,129,138,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
3.0,34,94,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
8.0,64,131,departed,Main Line,NJ Transit,Thursday,early_morning,0
2.0,13,122,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,103,38,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
6.0,15,22,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,38081,38081,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
4.0,86,26,departed,Main Line,NJ Transit,Thursday,early_morning,1
8.0,19,106,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
9.0,119,158,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,125,125,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
11.0,17,99,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
6.0,83,37953,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
8.0,127,11,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
14.0,140,112,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
12.0,107,38187,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,63,106,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
9.0,131,52,departed,Main Line,NJ Transit,Thursday,early_morning,1
11.0,84,38,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
2.0,148,32905,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
7.0,22,8,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,49,117,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
2.0,38081,89,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
11.0,32,31,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
12.0,99,104,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
2.0,142,100,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
4.0,130,85,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
4.0,38,84,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
9.0,137,144,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
4.0,107,37953,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,122,79,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,55,9,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
10.0,158,11,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
9.0,11,158,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
3.0,138,24,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
3.0,89,95,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
4.0,94,91,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
15.0,112,23,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,125,124,estimated,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
2.0,105,38187,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,52,58,departed,Main Line,NJ Transit,Thursday,early_morning,1
12.0,38,103,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
8.0,8,4,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,37953,109,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,117,45,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
4.0,24,21,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
13.0,104,145,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
3.0,106,37,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
12.0,31,38105,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
4.0,95,150,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
7.0,37953,107,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,79,141,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
3.0,100,118,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
4.0,37,23,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,91,92,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,32905,125,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,54,93,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,1
11.0,58,116,departed,Main Line,NJ Transit,Thursday,early_morning,1
5.0,84,83,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,144,144,departed,Main Line,NJ Transit,Thursday,early_morning,0
5.0,85,59,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,123,113,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
6.0,109,41,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,150,153,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
11.0,11,127,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
14.0,38187,105,estimated,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,158,119,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
9.0,4,40,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
16.0,23,106,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
4.0,118,90,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
6.0,9,71,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
4.0,125,103,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,23,112,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,144,78,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,145,145,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,26,135,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,124,124,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
5.0,141,15,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,21,36,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
1.0,148,148,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,93,101,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
5.0,90,114,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
6.0,153,152,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
6.0,92,30,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
4.0,45,18,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
3.0,38187,107,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
6.0,112,61,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
6.0,59,37169,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,32906,32906,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
6.0,114,159,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
3.0,78,38417,departed,Main Line,NJ Transit,Thursday,early_morning,0
6.0,83,127,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
7.0,41,70,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
11.0,119,139,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
5.0,18,12,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
8.0,107,38187,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
12.0,116,29,departed,Main Line,NJ Transit,Thursday,early_morning,1
10.0,40,74,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,15,22,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
10.0,144,131,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
7.0,61,97,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,152,14,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
2.0,145,136,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,124,125,estimated,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
7.0,30,77,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,103,38,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,38105,107,estimated,Raritan Valley,NJ Transit,Thursday,early_morning,0
4.0,101,67,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
6.0,36,120,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
1.0,144,144,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
4.0,38417,128,departed,Main Line,NJ Transit,Thursday,early_morning,0
7.0,127,70,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,29,115,departed,Main Line,NJ Transit,Thursday,early_morning,1
6.0,12,76,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
8.0,14,50,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
2.0,148,32905,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,38187,105,estimated,No Jersey Coast,NJ Transit,Thursday,early_morning,0
7.0,159,62,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
8.0,70,127,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
8.0,97,140,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
11.0,131,51,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
17.0,106,38187,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,136,87,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
7.0,22,8,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
12.0,127,37953,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
4.0,107,37953,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
7.0,71,28,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
1.0,105,105,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
9.0,106,105,estimated,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
5.0,128,3,departed,Main Line,NJ Transit,Thursday,early_morning,0
8.0,62,156,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
2.0,144,78,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
1.0,13,13,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,77,27,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
3.0,113,86,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
7.0,120,102,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
14.0,145,106,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
7.0,76,88,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
9.0,50,19,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
5.0,67,39472,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
9.0,140,81,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,35,35,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
14.0,115,33,departed,Main Line,NJ Transit,Thursday,early_morning,1
11.0,74,73,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,38,84,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
4.0,87,81,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,32906,103,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
7.0,37169,139,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
13.0,103,125,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,123,123,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
12.0,139,37169,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
5.0,37953,109,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
3.0,78,38417,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
12.0,51,126,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
1.0,74,74,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
9.0,156,42,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
6.0,3,151,departed,Main Line,NJ Transit,Thursday,early_morning,0
10.0,19,154,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
8.0,102,44,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
8.0,8,4,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,70,41,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,13,122,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
8.0,88,143,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
15.0,33,75,departed,Main Line,NJ Transit,Thursday,early_morning,1
9.0,127,83,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
12.0,73,130,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
7.0,84,83,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,37953,107,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,1,1,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
3.0,32905,125,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,81,140,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
10.0,81,87,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
6.0,109,41,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
6.0,135,57,departed,Main Line,NJ Transit,Thursday,early_morning,0
13.0,37169,59,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
7.0,151,64,departed,Main Line,NJ Transit,Thursday,early_morning,0
3.0,103,38,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
13.0,126,25,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
9.0,27,145,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
1.0,63,63,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
9.0,41,109,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,42,111,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
8.0,28,43298,departed,Atl. City Line,NJ Transit,Thursday,early_morning,1
4.0,38417,128,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
16.0,75,66,departed,Main Line,NJ Transit,Thursday,early_morning,1
9.0,143,48,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
9.0,4,40,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
4.0,86,26,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
1.0,125,125,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
6.0,140,97,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,35,34,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
11.0,87,136,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
9.0,38187,105,estimated,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,83,84,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
9.0,44,155,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
8.0,64,131,departed,Main Line,NJ Transit,Thursday,early_morning,0
11.0,154,106,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
1.0,105,105,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,122,79,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
6.0,39472,35,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
2.0,74,73,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,49,49,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
10.0,109,37953,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,145,136,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,128,3,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
2.0,105,38187,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
14.0,125,32905,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
7.0,97,61,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
11.0,111,132,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
13.0,130,85,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
